job_id,repeat,order_index,schedule,workers,kernels,presentations,current_chunksize,elapsed_s,digest,valid_kernels,candidates,semantic_requests,computed_steps,cache_hits,observed_workers,worker_loads_json,group_elapsed_p50_ms,group_elapsed_p95_ms,group_elapsed_max_ms,total_group_work_s,worker_load_p50_s,worker_load_p95_s,worker_load_max_s,worker_load_mean_s,load_imbalance_max_over_mean,critical_path_over_ideal,straggler_excess_over_ideal_s,approximate_unattributed_time_s,completed_at
scheduler-r3-fine_chunksize_1-w8,3,1,fine_chunksize_1,8,24624,18,769,15.561021500005154,43ed5632812f4626c19a3c874ae557f9f08718999a63ec4e608bb52499b7d436,10544,189792,3382177,2288074,1094103,8,"[8.66987749945838,8.69802109968441,8.722054300931632,8.730288199629285,8.735483899727114,8.746039099802147,8.75860969965288,8.802583499767934]",0.2605500048957765,9.561925005982628,22.91250000416767,69.86295729865378,8.7328860496782,8.787192669727665,8.802583499767934,8.732869662331723,1.0079829243000058,1.0079829243000058,0.06971383743621118,6.75843800023722,2026-07-25T02:29:54.889063+08:00
scheduler-r3-current_chunksize-w8,3,2,current_chunksize,8,24624,18,769,10.381114800009527,43ed5632812f4626c19a3c874ae557f9f08718999a63ec4e608bb52499b7d436,10544,189792,3382177,2288074,1094103,8,"[8.067680900188861,8.369236100421404,8.38856130032218,8.680023499939125,8.737603100365959,9.05862660020648,9.083484199625673,9.439740900037577]",0.24724999821046367,9.408475006057412,21.72600000631064,69.82495660110726,8.708813300152542,9.315051054893411,9.439740900037577,8.728119575138408,1.0815320320457324,1.0815320320457324,0.7116213248991698,0.9413738999719499,2026-07-25T02:30:05.325895+08:00
scheduler-r4-fine_chunksize_1-w8,4,0,fine_chunksize_1,8,24624,18,769,15.476869600010104,43ed5632812f4626c19a3c874ae557f9f08718999a63ec4e608bb52499b7d436,10544,189792,3382177,2288074,1094103,8,"[8.581412200233899,8.600946000340628,8.612926299887476,8.613382900424767,8.666452099889284,8.680396600262611,8.691758300265064,8.738137999956962]",0.25910000113071874,9.69362500472925,25.119700003415346,69.18541240126069,8.639917500157026,8.721905105064797,8.738137999956962,8.648176550157586,1.0104023604603374,1.0104023604603374,0.08996144979937526,6.738731600053143,2026-07-25T02:30:20.846937+08:00
scheduler-r4-current_chunksize-w8,4,1,current_chunksize,8,24624,18,769,10.680620800005272,43ed5632812f4626c19a3c874ae557f9f08718999a63ec4e608bb52499b7d436,10544,189792,3382177,2288074,1094103,8,"[8.34399459976703,8.669680300110485,8.670122399766115,8.959305200187373,9.077384200165397,9.419389399554348,9.495742099810741,9.783148799528135]",0.26200000138487667,9.70664000196848,30.48129999660887,72.41876699888962,9.018344700176385,9.682556454627047,9.783148799528135,9.052345874861203,1.0807307779408215,1.0807307779408215,0.7308029246669321,0.897472000477137,2026-07-25T02:30:31.573409+08:00
scheduler-r4-static_contiguous-w8,4,2,static_contiguous,8,24624,18,769,13.228914800012717,43ed5632812f4626c19a3c874ae557f9f08718999a63ec4e608bb52499b7d436,10544,189792,3382177,2288074,1094103,8,"[4.05673789975117,6.379275399478502,8.113388599696918,9.488684699783335,10.341510500264121,10.177896600216627,10.62649669975508,10.143697399835219]",0.24500000290572643,9.477180000976658,26.267599998391233,69.32768779878097,9.816191049809277,10.526751529933245,10.62649669975508,8.665960974847621,1.2262340818978743,1.2262340818978743,1.9605357249074586,2.602418100257637,2026-07-25T02:30:44.850123+08:00
scheduler-r5-current_chunksize-w8,5,0,current_chunksize,8,24624,18,769,11.169449000008171,43ed5632812f4626c19a3c874ae557f9f08718999a63ec4e608bb52499b7d436,10544,189792,3382177,2288074,1094103,8,"[8.91005230054725,9.170087600432453,9.279008600307861,9.4285193997639,9.563933199722669,9.87553100012883,9.917124299987336,10.196769600253901]",0.28440000460250303,10.454970002319888,27.089199997135438,76.3410260011442,9.496226299743284,10.098893745160604,10.196769600253901,9.542628250143025,1.0685493904785688,1.0685493904785688,0.6541413501108764,0.97267939975427,2026-07-25T02:30:56.068992+08:00
scheduler-r5-static_contiguous-w8,5,1,static_contiguous,8,24624,18,769,12.762638899992453,43ed5632812f4626c19a3c874ae557f9f08718999a63ec4e608bb52499b7d436,10544,189792,3382177,2288074,1094103,8,"[3.947861399836256,6.361262100253953,7.8874839999043616,9.254780800300068,10.178305200286559,10.084236899609095,10.398195899892016,9.931045600198559]",0.24049999774433672,9.20230999108753,20.739800005685538,68.04317190028087,9.592913200249313,10.321234155030107,10.398195899892016,8.505396487535108,1.2225409967813796,1.2225409967813796,1.8927994123569079,2.3644430001004366,2026-07-25T02:31:08.871730+08:00
scheduler-r5-fine_chunksize_1-w8,5,2,fine_chunksize_1,8,24624,18,769,15.662105199997313,43ed5632812f4626c19a3c874ae557f9f08718999a63ec4e608bb52499b7d436,10544,189792,3382177,2288074,1094103,8,"[8.772185000372701,8.805714300367981,8.810403600189602,8.82507540062943,8.8276240000705,8.843773699991289,8.85551390008186,8.864346600414137]",0.258850006503053,9.740820002480175,59.3075999931898,70.6046365021175,8.826349700349965,8.86125515529784,8.864346600414137,8.825579562764688,1.0043925769830468,1.0043925769830468,0.038767037649449776,6.797758599583176,2026-07-25T02:31:24.582688+08:00
scheduler-r6-current_chunksize-w8,6,0,current_chunksize,8,24624,18,769,10.508568400007789,43ed5632812f4626c19a3c874ae557f9f08718999a63ec4e608bb52499b7d436,10544,189792,3382177,2288074,1094103,8,"[8.294113899784861,8.555171200132463,8.565127899622894,8.78620949962351,8.890521200009971,9.213150599607616,9.283365099778166,9.561938100596308]",0.2500500049791299,9.504719994583866,21.94910000253003,71.14959749915579,8.83836534981674,9.464437550309958,9.561938100596308,8.893699687394474,1.0751361566827993,1.0751361566827993,0.6682384132018342,0.9466302994114812,2026-07-25T02:31:35.139034+08:00
scheduler-r6-fine_chunksize_1-w8,6,1,fine_chunksize_1,8,24624,18,769,15.563147199995,43ed5632812f4626c19a3c874ae557f9f08718999a63ec4e608bb52499b7d436,10544,189792,3382177,2288074,1094103,8,"[8.664003600206343,8.695194599669776,8.700908600381808,8.725175799118006,8.73610840033507,8.762260399525985,8.788669500601827,8.791636200185167]",0.25859999004751444,9.69017000752501,23.36440001090523,69.86395710002398,8.730642099726538,8.790597855330997,8.791636200185167,8.732994637502998,1.0067149431685596,1.0067149431685596,0.058641562682169024,6.771510999809834,2026-07-25T02:31:50.749545+08:00
scheduler-r6-static_contiguous-w8,6,2,static_contiguous,8,24624,18,769,13.014933700003894,43ed5632812f4626c19a3c874ae557f9f08718999a63ec4e608bb52499b7d436,10544,189792,3382177,2288074,1094103,8,"[3.89170789984928,6.32588470018527,8.088102000416256,9.432427900537732,10.285315700108185,10.24096129987447,10.552708499890286,10.157827700124471]",0.24620000476716086,9.384170005796477,21.82489998813253,68.97493570098595,9.795127800331102,10.45912101996655,10.552708499890286,8.621866962623244,1.2239470343995629,1.2239470343995629,1.9308415372670424,2.4622252001136076,2026-07-25T02:32:03.814499+08:00
scheduler-r7-fine_chunksize_1-w8,7,0,fine_chunksize_1,8,24624,18,769,16.24623169998813,43ed5632812f4626c19a3c874ae557f9f08718999a63ec4e608bb52499b7d436,10544,189792,3382177,2288074,1094103,8,"[9.113362499905634,9.12428689992521,9.126805299936677,9.132002399404882,9.15375620040868,9.18017700027849,9.182141899495036,9.264337400076329]",0.26559999969322234,10.041605000151312,50.350200006505474,73.27686959943094,9.142879299906781,9.235568974872876,9.264337400076329,9.159608699928867,1.0114337526392667,1.0114337526392667,0.1047287001474615,6.981894299911801,2026-07-25T02:32:20.109741+08:00
scheduler-r7-static_contiguous-w8,7,1,static_contiguous,8,24624,18,769,12.50050409999676,43ed5632812f4626c19a3c874ae557f9f08718999a63ec4e608bb52499b7d436,10544,189792,3382177,2288074,1094103,8,"[3.9277148996916367,6.128847299783956,7.802168100475683,8.929361000104109,9.812125299999025,9.628793699885136,10.079831899623969,9.749158099919441]",0.23255000269273296,8.986840007128194,23.10120000038296,66.05800029948296,9.279077349994623,9.986134589755238,10.079831899623969,8.25725003743537,1.2207250421055043,1.2207250421055043,1.8225818621885992,2.420672200372792,2026-07-25T02:32:32.662216+08:00
scheduler-r7-current_chunksize-w8,7,2,current_chunksize,8,24624,18,769,10.330103600004804,43ed5632812f4626c19a3c874ae557f9f08718999a63ec4e608bb52499b7d436,10544,189792,3382177,2288074,1094103,8,"[8.034454900451237,8.27320509958372,8.275555999847711,8.559102700019139,8.684227799749351,8.977671399406972,9.04489110018767,9.37109310051892]",0.2448499944875948,9.318369999527931,21.812799997860566,69.22020209976472,8.621665249884245,9.256922400402981,9.37109310051892,8.65252526247059,1.083047181747627,1.083047181747627,0.7185678380483296,0.9590104994858848,2026-07-25T02:32:43.040862+08:00
scheduler-r8-static_contiguous-w8,8,0,static_contiguous,8,24624,18,769,12.741713600000367,43ed5632812f4626c19a3c874ae557f9f08718999a63ec4e608bb52499b7d436,10544,189792,3382177,2288074,1094103,8,"[3.865869099739939,6.232327000398072,7.930232400001842,9.134930600295775,10.107443599947146,9.908426199588575,10.29528960052994,9.877293600235134]",0.23440000222763047,9.109640000679057,20.290200001909398,67.35181210073642,9.506112100265455,10.229543500325963,10.29528960052994,8.418976512592053,1.222867124659575,1.222867124659575,1.8763130879378878,2.4464239994704258,2026-07-25T02:32:55.818990+08:00
scheduler-r8-current_chunksize-w8,8,1,current_chunksize,8,24624,18,769,10.339819799992256,43ed5632812f4626c19a3c874ae557f9f08718999a63ec4e608bb52499b7d436,10544,189792,3382177,2288074,1094103,8,"[8.036631099734223,8.301132600114215,8.363360899718828,8.568579800223233,8.695586200308753,9.037814599825651,9.145609899846022,9.391137699392857]",0.2486000012140721,9.405919998971513,21.154200003365986,69.53985279916378,8.632083000265993,9.305202969551464,9.391137699392857,8.692481599895473,1.080374757365697,1.080374757365697,0.6986560994973843,0.9486821005993988,2026-07-25T02:33:06.219540+08:00
scheduler-r8-fine_chunksize_1-w8,8,2,fine_chunksize_1,8,24624,18,769,15.46922739999718,43ed5632812f4626c19a3c874ae557f9f08718999a63ec4e608bb52499b7d436,10544,189792,3382177,2288074,1094103,8,"[8.551591199837276,8.557594800542574,8.562874200113583,8.58062660023279,8.590946900192648,8.598188899733941,8.658346000287565,8.66074090031907]",0.25939999613910913,9.64211000537034,23.602999994182028,68.76090950125945,8.58578675021272,8.659902685308044,8.66074090031907,8.595113687657431,1.0076354094950344,1.0076354094950344,0.06562721266163862,6.808486499678111,2026-07-25T02:33:21.739224+08:00
scheduler-r9-static_contiguous-w8,9,0,static_contiguous,8,24624,18,769,12.883110800001305,43ed5632812f4626c19a3c874ae557f9f08718999a63ec4e608bb52499b7d436,10544,189792,3382177,2288074,1094103,8,"[3.862794700093218,6.171234800189268,7.828024800022831,9.184092199415318,10.161711200416903,9.991560699985712,10.432430200264207,9.954291099347756]",0.23725000210106373,9.223170006589491,23.29230000032112,67.58613969973521,9.569191649381537,10.337678550317651,10.432430200264207,8.448267462466902,1.2348603126750355,1.2348603126750355,1.9841627377973055,2.4506805997370975,2026-07-25T02:33:34.670109+08:00
scheduler-r9-fine_chunksize_1-w8,9,1,fine_chunksize_1,8,24624,18,769,15.599062099994626,43ed5632812f4626c19a3c874ae557f9f08718999a63ec4e608bb52499b7d436,10544,189792,3382177,2288074,1094103,8,"[8.70407409981999,8.717615699453745,8.718805799886468,8.730455899742083,8.74155949956912,8.74464279980748,8.751188499765703,8.764323699535453]",0.2521999995224178,9.492110000428509,22.976100008236244,69.87266599758004,8.736007699655602,8.75972637961604,8.764323699535453,8.734083249697505,1.0034623496219817,1.0034623496219817,0.03024044983794738,6.834738400459173,2026-07-25T02:33:50.327820+08:00
scheduler-r9-current_chunksize-w8,9,2,current_chunksize,8,24624,18,769,10.392597199999727,43ed5632812f4626c19a3c874ae557f9f08718999a63ec4e608bb52499b7d436,10544,189792,3382177,2288074,1094103,8,"[8.173640199849615,8.399709200210054,8.408099899927038,8.548152800503885,8.75653949995467,9.075009999418398,9.082990000781137,9.41523050039541]",0.24550000671297312,9.38758500269614,20.46929999778513,69.85937210104021,8.652346150229278,9.298946325530414,9.41523050039541,8.732421512630026,1.0781923990702706,1.0781923990702706,0.6828089877653838,0.9773666996043175,2026-07-25T02:34:00.799210+08:00
