job_id,study,case,repeat,order_index,method,workers,kernel_count,kernel_selection,presentation_count,presentation_set,elapsed_s,worker_slot_s,peak_process_tree_rss_mb,digest,valid_kernels,candidates,frontier,suite_size,graph_builds,graph_states,graph_transitions,observation_calls,policy_calls,transition_calls,prefix_groups,completed_at
scaling-k24624-p18-r3-w6,parallel_scaling,24624k_18p,3,0,factorized,6,24624,complete_grid,18,view_00_exact_exact_d0|view_01_exact_exact_d1|view_02_exact_coarse_d0|view_03_exact_coarse_d1|view_04_exact_hidden_d0|view_05_exact_hidden_d1|view_06_coarse_exact_d0|view_07_coarse_exact_d1|view_08_coarse_coarse_d0|view_09_coarse_coarse_d1|view_10_coarse_hidden_d0|view_11_coarse_hidden_d1|view_12_hidden_exact_d0|view_13_hidden_exact_d1|view_14_hidden_coarse_d0|view_15_hidden_coarse_d1|view_16_hidden_hidden_d0|view_17_hidden_hidden_d1,13.056440100001055,78.33864060000633,242.06640625,a171500c18441ecbe3f8e05125a928ca5b88d5b874ee80a16d3d8e88b67fa411,10544,189792,1,1,24624,870555,967728,3382177,2288074,2288074,2288074,2026-07-25T02:01:36.089472+08:00
scaling-k24624-p18-r3-w8,parallel_scaling,24624k_18p,3,1,factorized,8,24624,complete_grid,18,view_00_exact_exact_d0|view_01_exact_exact_d1|view_02_exact_coarse_d0|view_03_exact_coarse_d1|view_04_exact_hidden_d0|view_05_exact_hidden_d1|view_06_coarse_exact_d0|view_07_coarse_exact_d1|view_08_coarse_coarse_d0|view_09_coarse_coarse_d1|view_10_coarse_hidden_d0|view_11_coarse_hidden_d1|view_12_hidden_exact_d0|view_13_hidden_exact_d1|view_14_hidden_coarse_d0|view_15_hidden_coarse_d1|view_16_hidden_hidden_d0|view_17_hidden_hidden_d1,10.55729449998762,84.45835599990096,292.07421875,a171500c18441ecbe3f8e05125a928ca5b88d5b874ee80a16d3d8e88b67fa411,10544,189792,1,1,24624,870555,967728,3382177,2288074,2288074,2288074,2026-07-25T02:01:47.029138+08:00
scaling-k24624-p18-r3-w12,parallel_scaling,24624k_18p,3,2,factorized,12,24624,complete_grid,18,view_00_exact_exact_d0|view_01_exact_exact_d1|view_02_exact_coarse_d0|view_03_exact_coarse_d1|view_04_exact_hidden_d0|view_05_exact_hidden_d1|view_06_coarse_exact_d0|view_07_coarse_exact_d1|view_08_coarse_coarse_d0|view_09_coarse_coarse_d1|view_10_coarse_hidden_d0|view_11_coarse_hidden_d1|view_12_hidden_exact_d0|view_13_hidden_exact_d1|view_14_hidden_coarse_d0|view_15_hidden_coarse_d1|view_16_hidden_hidden_d0|view_17_hidden_hidden_d1,8.23312600000645,98.7975120000774,391.37109375,a171500c18441ecbe3f8e05125a928ca5b88d5b874ee80a16d3d8e88b67fa411,10544,189792,1,1,24624,870555,967728,3382177,2288074,2288074,2288074,2026-07-25T02:01:55.665533+08:00
scaling-k24624-p18-r3-w16,parallel_scaling,24624k_18p,3,3,factorized,16,24624,complete_grid,18,view_00_exact_exact_d0|view_01_exact_exact_d1|view_02_exact_coarse_d0|view_03_exact_coarse_d1|view_04_exact_hidden_d0|view_05_exact_hidden_d1|view_06_coarse_exact_d0|view_07_coarse_exact_d1|view_08_coarse_coarse_d0|view_09_coarse_coarse_d1|view_10_coarse_hidden_d0|view_11_coarse_hidden_d1|view_12_hidden_exact_d0|view_13_hidden_exact_d1|view_14_hidden_coarse_d0|view_15_hidden_coarse_d1|view_16_hidden_hidden_d0|view_17_hidden_hidden_d1,7.407753599996795,118.52405759994872,494.9140625,a171500c18441ecbe3f8e05125a928ca5b88d5b874ee80a16d3d8e88b67fa411,10544,189792,1,1,24624,870555,967728,3382177,2288074,2288074,2288074,2026-07-25T02:02:03.485088+08:00
scaling-k24624-p18-r3-w1,parallel_scaling,24624k_18p,3,4,factorized,1,24624,complete_grid,18,view_00_exact_exact_d0|view_01_exact_exact_d1|view_02_exact_coarse_d0|view_03_exact_coarse_d1|view_04_exact_hidden_d0|view_05_exact_hidden_d1|view_06_coarse_exact_d0|view_07_coarse_exact_d1|view_08_coarse_coarse_d0|view_09_coarse_coarse_d1|view_10_coarse_hidden_d0|view_11_coarse_hidden_d1|view_12_hidden_exact_d0|view_13_hidden_exact_d1|view_14_hidden_coarse_d0|view_15_hidden_coarse_d1|view_16_hidden_hidden_d0|view_17_hidden_hidden_d1,64.57273400000122,64.57273400000122,104.390625,a171500c18441ecbe3f8e05125a928ca5b88d5b874ee80a16d3d8e88b67fa411,10544,189792,1,1,24624,870555,967728,3382177,2288074,2288074,2288074,2026-07-25T02:03:08.455580+08:00
scaling-k24624-p18-r3-w2,parallel_scaling,24624k_18p,3,5,factorized,2,24624,complete_grid,18,view_00_exact_exact_d0|view_01_exact_exact_d1|view_02_exact_coarse_d0|view_03_exact_coarse_d1|view_04_exact_hidden_d0|view_05_exact_hidden_d1|view_06_coarse_exact_d0|view_07_coarse_exact_d1|view_08_coarse_coarse_d0|view_09_coarse_coarse_d1|view_10_coarse_hidden_d0|view_11_coarse_hidden_d1|view_12_hidden_exact_d0|view_13_hidden_exact_d1|view_14_hidden_coarse_d0|view_15_hidden_coarse_d1|view_16_hidden_hidden_d0|view_17_hidden_hidden_d1,31.996489400000428,63.992978800000856,144.828125,a171500c18441ecbe3f8e05125a928ca5b88d5b874ee80a16d3d8e88b67fa411,10544,189792,1,1,24624,870555,967728,3382177,2288074,2288074,2288074,2026-07-25T02:03:40.842901+08:00
scaling-k24624-p18-r3-w4,parallel_scaling,24624k_18p,3,6,factorized,4,24624,complete_grid,18,view_00_exact_exact_d0|view_01_exact_exact_d1|view_02_exact_coarse_d0|view_03_exact_coarse_d1|view_04_exact_hidden_d0|view_05_exact_hidden_d1|view_06_coarse_exact_d0|view_07_coarse_exact_d1|view_08_coarse_coarse_d0|view_09_coarse_coarse_d1|view_10_coarse_hidden_d0|view_11_coarse_hidden_d1|view_12_hidden_exact_d0|view_13_hidden_exact_d1|view_14_hidden_coarse_d0|view_15_hidden_coarse_d1|view_16_hidden_hidden_d0|view_17_hidden_hidden_d1,17.395815399999265,69.58326159999706,191.9375,a171500c18441ecbe3f8e05125a928ca5b88d5b874ee80a16d3d8e88b67fa411,10544,189792,1,1,24624,870555,967728,3382177,2288074,2288074,2288074,2026-07-25T02:03:58.650256+08:00
scaling-k24624-p18-r4-w8,parallel_scaling,24624k_18p,4,0,factorized,8,24624,complete_grid,18,view_00_exact_exact_d0|view_01_exact_exact_d1|view_02_exact_coarse_d0|view_03_exact_coarse_d1|view_04_exact_hidden_d0|view_05_exact_hidden_d1|view_06_coarse_exact_d0|view_07_coarse_exact_d1|view_08_coarse_coarse_d0|view_09_coarse_coarse_d1|view_10_coarse_hidden_d0|view_11_coarse_hidden_d1|view_12_hidden_exact_d0|view_13_hidden_exact_d1|view_14_hidden_coarse_d0|view_15_hidden_coarse_d1|view_16_hidden_hidden_d0|view_17_hidden_hidden_d1,11.10501210000075,88.840096800006,292.2421875,a171500c18441ecbe3f8e05125a928ca5b88d5b874ee80a16d3d8e88b67fa411,10544,189792,1,1,24624,870555,967728,3382177,2288074,2288074,2288074,2026-07-25T02:04:10.178488+08:00
scaling-k24624-p18-r4-w12,parallel_scaling,24624k_18p,4,1,factorized,12,24624,complete_grid,18,view_00_exact_exact_d0|view_01_exact_exact_d1|view_02_exact_coarse_d0|view_03_exact_coarse_d1|view_04_exact_hidden_d0|view_05_exact_hidden_d1|view_06_coarse_exact_d0|view_07_coarse_exact_d1|view_08_coarse_coarse_d0|view_09_coarse_coarse_d1|view_10_coarse_hidden_d0|view_11_coarse_hidden_d1|view_12_hidden_exact_d0|view_13_hidden_exact_d1|view_14_hidden_coarse_d0|view_15_hidden_coarse_d1|view_16_hidden_hidden_d0|view_17_hidden_hidden_d1,8.972005800009356,107.66406960011227,391.1796875,a171500c18441ecbe3f8e05125a928ca5b88d5b874ee80a16d3d8e88b67fa411,10544,189792,1,1,24624,870555,967728,3382177,2288074,2288074,2288074,2026-07-25T02:04:19.577328+08:00
scaling-k24624-p18-r4-w16,parallel_scaling,24624k_18p,4,2,factorized,16,24624,complete_grid,18,view_00_exact_exact_d0|view_01_exact_exact_d1|view_02_exact_coarse_d0|view_03_exact_coarse_d1|view_04_exact_hidden_d0|view_05_exact_hidden_d1|view_06_coarse_exact_d0|view_07_coarse_exact_d1|view_08_coarse_coarse_d0|view_09_coarse_coarse_d1|view_10_coarse_hidden_d0|view_11_coarse_hidden_d1|view_12_hidden_exact_d0|view_13_hidden_exact_d1|view_14_hidden_coarse_d0|view_15_hidden_coarse_d1|view_16_hidden_hidden_d0|view_17_hidden_hidden_d1,7.650112000002991,122.40179200004786,497.05859375,a171500c18441ecbe3f8e05125a928ca5b88d5b874ee80a16d3d8e88b67fa411,10544,189792,1,1,24624,870555,967728,3382177,2288074,2288074,2288074,2026-07-25T02:04:27.660851+08:00
